# X(km) Y(km) Z(km) Density(kg/m3)
-10.000000 -10.000000 0.000000 0.000317
-10.000000 -10.000000 2.000000 0.014243
-10.000000 -10.000000 4.000000 0.028473
-10.000000 -10.000000 6.000000 0.042729
-10.000000 -10.000000 8.000000 0.057039
-10.000000 -10.000000 10.000000 0.071366
-10.000000 -10.000000 12.000000 0.085265
-10.000000 -7.047619 0.000000 0.000332
-10.000000 -7.047619 2.000000 0.015180
-10.000000 -7.047619 4.000000 0.030321
-10.000000 -7.047619 6.000000 0.045558
-10.000000 -7.047619 8.000000 0.061060
-10.000000 -7.047619 10.000000 0.076843
-10.000000 -7.047619 12.000000 0.092358
-10.000000 -4.095238 0.000000 0.000339
-10.000000 -4.095238 2.000000 0.015751
-10.000000 -4.095238 4.000000 0.031499
-10.000000 -4.095238 6.000000 0.047608
-10.000000 -4.095238 8.000000 0.064467
-10.000000 -4.095238 10.000000 0.082083
-10.000000 -4.095238 12.000000 0.099670
-10.000000 -1.142857 0.000000 0.000331
-10.000000 -1.142857 2.000000 0.015241
-10.000000 -1.142857 4.000000 0.031025
-10.000000 -1.142857 6.000000 0.048088
-10.000000 -1.142857 8.000000 0.066816
-10.000000 -1.142857 10.000000 0.086913
-10.000000 -1.142857 12.000000 0.107163
-10.000000 1.809524 0.000000 0.000316
-10.000000 1.809524 2.000000 0.013760
-10.000000 1.809524 4.000000 0.029317
-10.000000 1.809524 6.000000 0.047715
-10.000000 1.809524 8.000000 0.068927
-10.000000 1.809524 10.000000 0.092084
-10.000000 1.809524 12.000000 0.115434
-10.000000 4.761905 0.000000 0.000318
-10.000000 4.761905 2.000000 0.013226
-10.000000 4.761905 4.000000 0.029059
-10.000000 4.761905 6.000000 0.048919
-10.000000 4.761905 8.000000 0.072612
-10.000000 4.761905 10.000000 0.098807
-10.000000 4.761905 12.000000 0.125232
-10.000000 7.714286 0.000000 0.000337
-10.000000 7.714286 2.000000 0.013715
-10.000000 7.714286 4.000000 0.030540
-10.000000 7.714286 6.000000 0.052168
-10.000000 7.714286 8.000000 0.078337
-10.000000 7.714286 10.000000 0.107403
-10.000000 7.714286 12.000000 0.136666
-10.000000 10.666667 0.000000 0.000363
-10.000000 10.666667 2.000000 0.014547
-10.000000 10.666667 4.000000 0.032740
-10.000000 10.666667 6.000000 0.056456
-10.000000 10.666667 8.000000 0.085240
-10.000000 10.666667 10.000000 0.117105
-10.000000 10.666667 12.000000 0.148984
-10.000000 13.619048 0.000000 0.000384
-10.000000 13.619048 2.000000 0.015128
-10.000000 13.619048 4.000000 0.034676
-10.000000 13.619048 6.000000 0.060604
-10.000000 13.619048 8.000000 0.092063
-10.000000 13.619048 10.000000 0.126629
-10.000000 13.619048 12.000000 0.160892
-10.000000 16.571429 0.000000 0.000402
-10.000000 16.571429 2.000000 0.015486
-10.000000 16.571429 4.000000 0.036136
-10.000000 16.571429 6.000000 0.064010
-10.000000 16.571429 8.000000 0.097846
-10.000000 16.571429 10.000000 0.134759
-10.000000 16.571429 12.000000 0.171010
