# X(km) Y(km) gz_pred(mGal)
0.500000 0.500000 0.396939
0.500000 1.980000 0.431108
0.500000 3.470000 0.472516
0.500000 4.950000 0.519553
0.500000 6.430000 0.561870
0.500000 7.920000 0.609364
0.500000 9.400000 0.663004
0.500000 10.880000 0.719462
0.500000 12.370000 0.770709
0.500000 13.850000 0.819297
0.500000 15.330000 0.871526
0.500000 16.810000 0.917614
0.500000 18.300000 0.959109
0.500000 19.780000 0.988530
0.500000 21.260000 1.003310
0.500000 22.750000 1.005904
0.500000 24.230000 1.002089
0.500000 25.710000 0.981571
0.500000 27.200000 0.948768
0.500000 28.680000 0.902591
0.500000 30.160000 0.860729
0.500000 31.650000 0.808996
0.500000 33.130000 0.753079
0.500000 34.610000 0.697153
0.500000 36.100000 0.641298
0.500000 37.580000 0.589641
0.500000 39.060000 0.547171
0.500000 40.540000 0.501878
0.500000 42.030000 0.459924
0.500000 43.510000 0.418877
1.990000 0.500000 0.431112
1.990000 1.980000 0.479270
1.990000 3.470000 0.519989
1.990000 4.950000 0.569874
1.990000 6.430000 0.626342
1.990000 7.920000 0.688618
1.990000 9.400000 0.750816
1.990000 10.880000 0.818980
1.990000 12.370000 0.890887
1.990000 13.850000 0.960295
1.990000 15.330000 1.029203
1.990000 16.810000 1.090496
1.990000 18.300000 1.142625
1.990000 19.780000 1.182612
1.990000 21.260000 1.206551
1.990000 22.750000 1.212345
1.990000 24.230000 1.200541
1.990000 25.710000 1.169309
1.990000 27.200000 1.127530
1.990000 28.680000 1.069043
1.990000 30.160000 1.009359
1.990000 31.650000 0.940312
1.990000 33.130000 0.869626
1.990000 34.610000 0.800624
1.990000 36.100000 0.731724
1.990000 37.580000 0.668326
1.990000 39.060000 0.613922
1.990000 40.540000 0.558809
1.990000 42.030000 0.508971
1.990000 43.510000 0.461565
3.470000 0.500000 0.477637
3.470000 1.980000 0.522270
3.470000 3.470000 0.577710
3.470000 4.950000 0.643381
3.470000 6.430000 0.708243
3.470000 7.920000 0.783867
3.470000 9.400000 0.860952
3.470000 10.880000 0.947105
3.470000 12.370000 1.038262
3.470000 13.850000 1.130633
3.470000 15.330000 1.217719
3.470000 16.810000 1.299470
3.470000 18.300000 1.370377
3.470000 19.780000 1.427575
3.470000 21.260000 1.460000
3.470000 22.750000 1.468209
3.470000 24.230000 1.452167
3.470000 25.710000 1.409651
3.470000 27.200000 1.350069
3.470000 28.680000 1.271963
3.470000 30.160000 1.189521
3.470000 31.650000 1.098713
3.470000 33.130000 1.007297
3.470000 34.610000 0.920126
3.470000 36.100000 0.837303
3.470000 37.580000 0.761162
